No,year,month,day,hour,PM2.5,PM10,SO2,NO2,CO,O3,TEMP,PRES,DEWP,RAIN,wd,WSPM,station,timestamp
14,2013,3,1,13,3,9,7,9,300,70,5.5,1025.2,-20,0,NE,3.1,Wanshouxigong,3/1/2013 13:00:00
15,2013,3,1,14,3,14,7,8,300,72,6.6,1024.9,-19.9,0,NW,2.1,Wanshouxigong,3/1/2013 14:00:00
16,2013,3,1,15,12,14,5,7,200,73,6.1,1024.7,-19.5,0,NE,2.4,Wanshouxigong,3/1/2013 15:00:00
17,2013,3,1,16,11,17,7,9,300,72,5.9,1024.7,-18.8,0,N,3.3,Wanshouxigong,3/1/2013 16:00:00
18,2013,3,1,17,13,18,8,14,300,67,5.3,1025.3,-19.3,0,NNW,2,Wanshouxigong,3/1/2013 17:00:00
19,2013,3,1,18,10,18,9,20,400,58,4.1,1026.4,-19.5,0,NNE,2.2,Wanshouxigong,3/1/2013 18:00:00
20,2013,3,1,19,10,16,7,29,500,50,3.2,1027.2,-18.9,0,NE,2.1,Wanshouxigong,3/1/2013 19:00:00
21,2013,3,1,20,11,12,6,29,500,47,2.6,1028.2,-18.8,0,NE,1.9,Wanshouxigong,3/1/2013 20:00:00
22,2013,3,1,21,10,12,6,31,500,44,2.2,1029.2,-17.9,0,ENE,1.1,Wanshouxigong,3/1/2013 21:00:00
23,2013,3,1,22,10,13,11,39,500,34,2,1029.5,-18.1,0,ENE,2,Wanshouxigong,3/1/2013 22:00:00
24,2013,3,1,23,15,15,14,41,500,31,1,1029.6,-18.4,0,ENE,1.8,Wanshouxigong,3/1/2013 23:00:00
25,2013,3,2,0,5,10,11,35,400,39,0.5,1030.2,-18.3,0,ENE,1.4,Wanshouxigong,3/2/2013 00:00:00
26,2013,3,2,1,3,8,9,33,400,40,-0.3,1030.2,-17.5,0,E,1,Wanshouxigong,3/2/2013 01:00:00
27,2013,3,2,2,3,6,9,29,300,44,-1.2,1029.6,-17,0,E,0.8,Wanshouxigong,3/2/2013 02:00:00
28,2013,3,2,3,3,6,9,29,400,43,-2.9,1029.7,-14.9,0,N,0.1,Wanshouxigong,3/2/2013 03:00:00
29,2013,3,2,4,3,6,8,30,400,41,-2.4,1029.8,-15.5,0,N,0.2,Wanshouxigong,3/2/2013 04:00:00
30,2013,3,2,5,8,8,6,15,300,57,-1.2,1029.2,-17.9,0,NNE,1,Wanshouxigong,3/2/2013 05:00:00
31,2013,3,2,6,8,8,10,31,400,37,-1.2,1028.5,-17.9,0,WNW,1.5,Wanshouxigong,3/2/2013 06:00:00
32,2013,3,2,7,3,6,16,61,600,8,-1.1,1029.2,-16.1,0,WSW,1.2,Wanshouxigong,3/2/2013 07:00:00
33,2013,3,2,8,4,7,17,53,500,17,0,1028.8,-16.8,0,W,1.3,Wanshouxigong,3/2/2013 08:00:00
34,2013,3,2,9,4,11,17,50,500,23,1.1,1028.9,-16.8,0,SW,1,Wanshouxigong,3/2/2013 09:00:00
35,2013,3,2,10,5,14,22,52,600,20,1.9,1028.4,-17.1,0,SW,2,Wanshouxigong,3/2/2013 10:00:00
36,2013,3,2,11,13,18,20,61,1000,15,2.5,1027.5,-17.7,0,SW,2.1,Wanshouxigong,3/2/2013 11:00:00
37,2013,3,2,12,17,25,19,47,700,29,3.3,1026.2,-17.6,0,SSW,1.8,Wanshouxigong,3/2/2013 12:00:00
38,2013,3,2,13,24,28,18,35,600,43,4.2,1024.8,-16.8,0,SE,1,Wanshouxigong,3/2/2013 13:00:00
39,2013,3,2,14,18,27,23,36,800,44,4.1,1024.1,-16.3,0,SSW,1.3,Wanshouxigong,3/2/2013 14:00:00
40,2013,3,2,15,34,37,44,43,1100,40,3.9,1023.5,-15.9,0,SSW,1.9,Wanshouxigong,3/2/2013 15:00:00
41,2013,3,2,16,42,56,46,44,1100,38,3.8,1022.8,-15,0,SSW,1,Wanshouxigong,3/2/2013 16:00:00
42,2013,3,2,17,56,68,48,46,1100,37,3.1,1022.7,-14.1,0,S,1.1,Wanshouxigong,3/2/2013 17:00:00
43,2013,3,2,18,56,80,51,52,1100,31,2.6,1022.5,-13.7,0,S,1.3,Wanshouxigong,3/2/2013 18:00:00
44,2013,3,2,19,64,88,53,67,1300,14,0.6,1022.2,-12.8,0,SSW,0.5,Wanshouxigong,3/2/2013 19:00:00
45,2013,3,2,20,72,96,63,83,1600,2,-0.2,1022.3,-11,0,W,1.1,Wanshouxigong,3/2/2013 20:00:00
46,2013,3,2,21,88,118,72,91,1800,2,-0.1,1021.8,-10.9,0,N,0.2,Wanshouxigong,3/2/2013 21:00:00
47,2013,3,2,22,101,125,82,93,2000,2,-2.4,1021.3,-11.7,0,SSW,0.6,Wanshouxigong,3/2/2013 22:00:00
48,2013,3,2,23,108,127,70,92,2100,2,-2.3,1020.3,-12.1,0,N,0.1,Wanshouxigong,3/2/2013 23:00:00
49,2013,3,3,0,101,108,56,92,2100,2,-0.6,1019.4,-14.2,0,NE,1.3,Wanshouxigong,3/3/2013 00:00:00
50,2013,3,3,1,77,93,62,94,2299,2,-0.1,1018.7,-14.5,0,NNE,1.4,Wanshouxigong,3/3/2013 01:00:00
51,2013,3,3,2,97,109,68,92,2600,2,-2.8,1017.3,-13.4,0,W,0.6,Wanshouxigong,3/3/2013 02:00:00
52,2013,3,3,3,107,120,75,89,2700,2,-4.4,1016.6,-11.7,0,SSW,0.4,Wanshouxigong,3/3/2013 03:00:00
53,2013,3,3,4,107,118,76,89,2799,2,-5.1,1015.9,-11.5,0,WSW,0.7,Wanshouxigong,3/3/2013 04:00:00
54,2013,3,3,5,104,109,65,86,2000,2,-5.3,1015.7,-11.2,0,WSW,1,Wanshouxigong,3/3/2013 05:00:00
55,2013,3,3,6,87,94,60,86,2000,2,-5.8,1015.6,-11.1,0,W,1,Wanshouxigong,3/3/2013 06:00:00
56,2013,3,3,7,86,95,69,86,2000,2,-3.2,1015.8,-10.3,0,NNW,0.6,Wanshouxigong,3/3/2013 07:00:00
57,2013,3,3,8,84,101,73,86,2399,2,1.7,1015.1,-12.5,0,ESE,0.6,Wanshouxigong,3/3/2013 08:00:00
58,2013,3,3,9,88,119,83,91,2799,2,3.8,1015,-12.6,0,N,0.5,Wanshouxigong,3/3/2013 09:00:00
59,2013,3,3,10,91,127,84,95,2600,2,7.2,1014.1,-12.1,0,SSW,0.8,Wanshouxigong,3/3/2013 10:00:00
60,2013,3,3,11,93,129,88,102,2600,4,11.1,1012.8,-11.7,0,SSW,2.3,Wanshouxigong,3/3/2013 11:00:00
61,2013,3,3,12,101,143,79,115,3000,6,12.7,1011.9,-12.5,0,S,1.9,Wanshouxigong,3/3/2013 12:00:00
62,2013,3,3,13,110,152,54,92,2000,18,13.7,1010.6,-11.7,0,S,2.3,Wanshouxigong,3/3/2013 13:00:00
63,2013,3,3,14,92,143,52,86,1800,35,14.7,1010.2,-12.6,0,SW,2.3,Wanshouxigong,3/3/2013 14:00:00
64,2013,3,3,15,114,169,43,58,1300,55,15,1009.6,-12.3,0,WSW,2.8,Wanshouxigong,3/3/2013 15:00:00
65,2013,3,3,16,95,146,29,46,1000,60,13.6,1009.8,-9.6,0,WSW,3.2,Wanshouxigong,3/3/2013 16:00:00
66,2013,3,3,17,77,130,36,57,1000,50,11.6,1010.4,-8.9,0,WSW,1.5,Wanshouxigong,3/3/2013 17:00:00
67,2013,3,3,18,84,159,65,102,1600,16,8.6,1011.4,-8,0,WNW,1.3,Wanshouxigong,3/3/2013 18:00:00
68,2013,3,3,19,123,225,66,116,1800,2,9.6,1012.4,-12.3,0,WNW,2.9,Wanshouxigong,3/3/2013 19:00:00
69,2013,3,3,20,150,242,69,120,2200,2,12.1,1012.6,-13,0,W,0.8,Wanshouxigong,3/3/2013 20:00:00
70,2013,3,3,21,147,191,23,80,1100,2,5.1,1012.8,-12.4,0,N,0.2,Wanshouxigong,3/3/2013 21:00:00
71,2013,3,3,22,62,68,14,73,800,2,3.5,1012.9,-10.9,0,WSW,1,Wanshouxigong,3/3/2013 22:00:00
72,2013,3,3,23,27,41,20,89,1600,2,9.6,1013.8,-11.7,0,NE,1.9,Wanshouxigong,3/3/2013 23:00:00
73,2013,3,4,0,33,46,21,85,2000,2,9.6,1014.8,-11.7,0,NNE,2.6,Wanshouxigong,3/4/2013 00:00:00
74,2013,3,4,1,31,36,31,73,1200,2,8.8,1015.6,-11.8,0,NE,2.1,Wanshouxigong,3/4/2013 01:00:00
75,2013,3,4,2,23,31,10,25,500,44,7.8,1016.1,-11.6,0,NE,2.1,Wanshouxigong,3/4/2013 02:00:00
76,2013,3,4,3,10,27,5,17,400,56,7.6,1015.9,-11.7,0,NNE,2.8,Wanshouxigong,3/4/2013 03:00:00
77,2013,3,4,4,8,16,12,32,500,37,4.8,1016.8,-12.2,0,NE,0.4,Wanshouxigong,3/4/2013 04:00:00
78,2013,3,4,5,9,22,15,23,400,44,1.9,1017.4,-11.6,0,E,1,Wanshouxigong,3/4/2013 05:00:00
79,2013,3,4,6,4,24,18,32,600,33,1,1018.1,-10.5,0,NW,0,Wanshouxigong,3/4/2013 06:00:00
80,2013,3,4,7,8,22,22,53,900,11,6.6,1019,-11.1,0,SW,0.8,Wanshouxigong,3/4/2013 07:00:00
81,2013,3,4,8,9,28,32,61,1100,8,9,1019.8,-11.1,0,NE,2,Wanshouxigong,3/4/2013 08:00:00
82,2013,3,4,9,12,29,22,37,600,36,10.7,1019.8,-12.7,0,ENE,2.5,Wanshouxigong,3/4/2013 09:00:00
83,2013,3,4,10,11,13,15,25,500,51,11.6,1019.7,-12.7,0,NNE,2.5,Wanshouxigong,3/4/2013 10:00:00
84,2013,3,4,11,12,14,11,19,400,60,13.1,1019,-13,0,NE,1.4,Wanshouxigong,3/4/2013 11:00:00
85,2013,3,4,12,15,16,12,19,400,63,14.3,1018.1,-12.9,0,SE,0.8,Wanshouxigong,3/4/2013 12:00:00
86,2013,3,4,13,13,16,11,18,400,67,14.5,1017,-13.7,0,E,1.3,Wanshouxigong,3/4/2013 13:00:00
87,2013,3,4,14,8,13,9,20,400,69,15.8,1016.1,-12.6,0,SW,2.5,Wanshouxigong,3/4/2013 14:00:00
88,2013,3,4,15,10,15,11,25,400,67,15.1,1015.4,-14.2,0,S,2,Wanshouxigong,3/4/2013 15:00:00
89,2013,3,4,16,12,18,10,28,400,75,14.6,1015,-13.6,0,SSW,2.3,Wanshouxigong,3/4/2013 16:00:00
90,2013,3,4,17,23,26,8,28,500,87,12.8,1015.2,-11.7,0,WSW,2.9,Wanshouxigong,3/4/2013 17:00:00
91,2013,3,4,18,29,38,13,43,500,63,11.2,1015.7,-11.6,0,WSW,2.3,Wanshouxigong,3/4/2013 18:00:00
92,2013,3,4,19,32,66,16,65,700,32,9.5,1015.9,-10.6,0,SSW,1.5,Wanshouxigong,3/4/2013 19:00:00
93,2013,3,4,20,40,92,25,78,1100,14,7.8,1016.1,-10.6,0,WSW,0.6,Wanshouxigong,3/4/2013 20:00:00
94,2013,3,4,21,56,104,38,88,1399,4,6.9,1016.3,-10.4,0,S,2.2,Wanshouxigong,3/4/2013 21:00:00
95,2013,3,4,22,71,111,35,83,1399,7,6.6,1016,-10.2,0,S,1.3,Wanshouxigong,3/4/2013 22:00:00
96,2013,3,4,23,76,105,52,71,1399,87,4.9,1015,-9.7,0,W,1.2,Wanshouxigong,3/4/2013 23:00:00
97,2013,3,5,0,82,106,86,63,1300,87,5,1014.6,-8.9,0,SW,0.7,Wanshouxigong,3/5/2013 00:00:00
98,2013,3,5,1,93,124,82,58,1300,87,3.7,1013.9,-8.4,0,SSE,2.7,Wanshouxigong,3/5/2013 01:00:00
99,2013,3,5,2,107,138,17.14860311,56,1399,87,2.3,1013.5,-7.9,0,W,0.9,Wanshouxigong,3/5/2013 02:00:00
100,2013,3,5,3,114,130,4,59,1370.395031,87,-0.4,1013,-7.7,0,WSW,1.1,Wanshouxigong,3/5/2013 03:00:00
101,2013,3,5,4,125,137,5,55.52956014,1800,87,-1.1,1012.9,-8.1,0,W,0.9,Wanshouxigong,3/5/2013 04:00:00
102,2013,3,5,5,138,149,59,74,2200,87,-1.9,1012.9,-7.8,0,ESE,0,Wanshouxigong,3/5/2013 05:00:00
103,2013,3,5,6,132,145,63,79,2399,87,-0.1,1012.6,-9,0,NNE,0.6,Wanshouxigong,3/5/2013 06:00:00
104,2013,3,5,7,129,137,67,82,2799,87,2.4,1012.5,-7.5,0,ENE,0,Wanshouxigong,3/5/2013 07:00:00
105,2013,3,5,8,118,136,80,90,3399,87,7.2,1012.3,-8.8,0,ENE,1,Wanshouxigong,3/5/2013 08:00:00
106,2013,3,5,9,117,150,117,97,3100,87,9,1011.7,-8.6,0,ENE,1.9,Wanshouxigong,3/5/2013 09:00:00
107,2013,3,5,10,126,172,90,108,3000,87,10.3,1011,-8.9,0,NNE,1.7,Wanshouxigong,3/5/2013 10:00:00
108,2013,3,5,11,133,180,83,108,2600,87,11.4,1010.2,-9,0,E,0.8,Wanshouxigong,3/5/2013 11:00:00
109,2013,3,5,12,138,169,73,101,2000,25,13.2,1008.6,-8.7,0,SW,0.8,Wanshouxigong,3/5/2013 12:00:00
110,2013,3,5,13,134,157,72,116,2100,87,14.7,1007.4,-8.1,0,SSW,1.3,Wanshouxigong,3/5/2013 13:00:00
111,2013,3,5,14,142,161,79,140,2399,87,15.4,1006.5,-7.5,0,ENE,1,Wanshouxigong,3/5/2013 14:00:00
112,2013,3,5,15,168,187,102,132,2200,87,15.9,1006.2,-7.1,0,SSW,0.9,Wanshouxigong,3/5/2013 15:00:00
113,2013,3,5,16,193,217,100,95,1700,87,14.9,1006,-6.7,0,SSE,0.9,Wanshouxigong,3/5/2013 16:00:00
114,2013,3,5,17,184,208,104,75,1500,78,11.3,1006.5,-5.7,0,NNW,0.7,Wanshouxigong,3/5/2013 17:00:00
115,2013,3,5,18,180,194,104,82,1500,78,11.3,1007,-5.7,0,E,0.7,Wanshouxigong,3/5/2013 18:00:00
116,2013,3,5,19,185,206,88,146,2200,78,6.8,1007.6,-5.9,0,ESE,0,Wanshouxigong,3/5/2013 19:00:00
117,2013,3,5,20,198,230,85,145,2299,78,5.7,1007.9,-5.6,0,WSW,0.6,Wanshouxigong,3/5/2013 20:00:00
118,2013,3,5,21,202,234,88,145,3100,78,4.6,1007.9,-5.5,0,WSW,0.6,Wanshouxigong,3/5/2013 21:00:00
119,2013,3,5,22,216,233,96,142,2700,78,4.4,1007.9,-5.4,0,NNE,0.9,Wanshouxigong,3/5/2013 22:00:00
120,2013,3,5,23,214,220,100,154,3399,78,7.9,1007.5,-6.6,0,ENE,0.5,Wanshouxigong,3/5/2013 23:00:00
121,2013,3,6,0,220,232,110,148,3100,78,4.8,1007.5,-6.2,0,WNW,0.4,Wanshouxigong,3/6/2013 00:00:00
122,2013,3,6,1,229,232,99,136,2799,78,2.5,1007.3,-5.6,0,SW,0.4,Wanshouxigong,3/6/2013 01:00:00
123,2013,3,6,2,220,226,102,138,3000,78,2.3,1007,-5.4,0,NNW,0.9,Wanshouxigong,3/6/2013 02:00:00
124,2013,3,6,3,159,208,82,129,2600,78,3.6,1006.9,-5.6,0,WSW,1,Wanshouxigong,3/6/2013 03:00:00
125,2013,3,6,4,149,187,77,131,2799,78,4.7,1006.7,-6,0,ENE,0.5,Wanshouxigong,3/6/2013 04:00:00
126,2013,3,6,5,186,187,75,131,2799,78,4.9,1006.8,-5.5,0,ESE,1.2,Wanshouxigong,3/6/2013 05:00:00
127,2013,3,6,6,187,188,79,137,3000,78,5.3,1007.5,-5.7,0,WNW,1.5,Wanshouxigong,3/6/2013 06:00:00
128,2013,3,6,7,186,200,86,128,2700,78,6.7,1008.2,-5.6,0,WNW,0.7,Wanshouxigong,3/6/2013 07:00:00
129,2013,3,6,8,193,207,102,117,2799,78,7.6,1008.2,-4.8,0,WNW,1,Wanshouxigong,3/6/2013 08:00:00
130,2013,3,6,9,194,215,88,100,2299,78,8.7,1008.1,-5.6,0,NNW,1,Wanshouxigong,3/6/2013 09:00:00
131,2013,3,6,10,181,202,87,101,2600,78,9.6,1007.8,-5.1,0,NE,1.3,Wanshouxigong,3/6/2013 10:00:00
132,2013,3,6,11,177,199,105,106,3000,78,11.4,1006.7,-4.3,0,ESE,0.4,Wanshouxigong,3/6/2013 11:00:00
133,2013,3,6,12,187,207,107,104,2600,78,12.2,1006,-4.5,0,WSW,0.8,Wanshouxigong,3/6/2013 12:00:00
134,2013,3,6,13,192,218,116,112,2700,78,13.4,1005.3,-4.3,0,WNW,0.6,Wanshouxigong,3/6/2013 13:00:00
135,2013,3,6,14,209,231,128,116,2799,78,14.6,1004.6,-4.2,0,S,1.6,Wanshouxigong,3/6/2013 14:00:00
136,2013,3,6,15,226,244,138,122,3200,78,14.5,1004.6,-4.3,0,SW,1.8,Wanshouxigong,3/6/2013 15:00:00
137,2013,3,6,16,224,253,144,130,3299,78,13.8,1004.5,-4,0,SSW,1.1,Wanshouxigong,3/6/2013 16:00:00
138,2013,3,6,17,225,260,146,129,3299,67,12,1005.2,-3.8,0,SW,1,Wanshouxigong,3/6/2013 17:00:00
139,2013,3,6,18,227,270,138,131,3200,8,8.6,1006.2,-3.6,0,WNW,0,Wanshouxigong,3/6/2013 18:00:00
140,2013,3,6,19,228,278,125,134,3500,8,6,1006.8,-3.7,0,N,0,Wanshouxigong,3/6/2013 19:00:00
141,2013,3,6,20,236,282,114,135,3700,8,4.7,1007.6,-3.3,0,WSW,0,Wanshouxigong,3/6/2013 20:00:00
142,2013,3,6,21,247,293,110,134,4400,8,5,1007.1,-3.1,0,WSW,1,Wanshouxigong,3/6/2013 21:00:00
143,2013,3,6,22,253,285,118,131,4700,8,6.8,1006.8,-2.9,0,W,0.8,Wanshouxigong,3/6/2013 22:00:00
144,2013,3,6,23,254,280,134,130,4799,8,5.4,1006.9,-2.9,0,WSW,0.9,Wanshouxigong,3/6/2013 23:00:00
145,2013,3,7,0,258,292,123,129,5299,8,5.2,1006.6,-2.9,0,W,2.4,Wanshouxigong,3/7/2013 00:00:00
146,2013,3,7,1,270,316,103,124,5200,8,3.3,1006.5,-3.1,0,SE,1.1,Wanshouxigong,3/7/2013 01:00:00
147,2013,3,7,2,280,317,100,118,4500,8,2.2,1006,-3.1,0,WNW,0.8,Wanshouxigong,3/7/2013 02:00:00
148,2013,3,7,3,264,285,98,110,4099,8,1,1005.7,-3.5,0,WNW,1.1,Wanshouxigong,3/7/2013 03:00:00
149,2013,3,7,4,249,263,78,107,4799,8,0,1005.7,-3.6,0,WNW,1,Wanshouxigong,3/7/2013 04:00:00
150,2013,3,7,5,243,257,69,105,4799,8,-0.4,1005.7,-3.1,0,NE,0.2,Wanshouxigong,3/7/2013 05:00:00
151,2013,3,7,6,243,256,61,104,5700,8,-0.3,1005.7,-2.7,0,W,0.9,Wanshouxigong,3/7/2013 06:00:00
152,2013,3,7,7,240,259,60,106,5799,8,3.6,1006,-0.6,0,W,0.6,Wanshouxigong,3/7/2013 07:00:00
153,2013,3,7,8,249,275,81,121,6700,8,9.4,1005.7,-0.8,0,N,0.1,Wanshouxigong,3/7/2013 08:00:00
154,2013,3,7,9,262,306,137,158,6000,8,10.1,1005.2,-1,0,WSW,0.9,Wanshouxigong,3/7/2013 09:00:00
155,2013,3,7,10,292,349,120,206,7599,8,12.8,1004.4,-0.8,0,WNW,1,Wanshouxigong,3/7/2013 10:00:00
156,2013,3,7,11,327,407,130,241,8599,8,15.6,1002.7,-2.4,0,SE,1.6,Wanshouxigong,3/7/2013 11:00:00
157,2013,3,7,12,389,454,150,221,6099,8,16.1,1000.7,-2.4,0,SSW,2.2,Wanshouxigong,3/7/2013 12:00:00
158,2013,3,7,13,366,400,137,167,3799,25,17.2,999.3,-2.5,0,SW,2.1,Wanshouxigong,3/7/2013 13:00:00
159,2013,3,7,14,294,336,99,110,3200,62,18.8,997.9,-2.8,0,SSW,2.4,Wanshouxigong,3/7/2013 14:00:00
160,2013,3,7,15,338,338,78,94,2600,70,18.4,996.7,-1.5,0,SSW,2.1,Wanshouxigong,3/7/2013 15:00:00
161,2013,3,7,16,190,274,56,59,1600,94,18.2,996.1,-1.1,0,SSW,0.8,Wanshouxigong,3/7/2013 16:00:00
162,2013,3,7,17,159,202,70,81,1700,94,15.1,995.8,-1.1,0,WSW,1,Wanshouxigong,3/7/2013 17:00:00
163,2013,3,7,18,208,226,73,117,1700,94,10.9,996.4,-0.6,0,WNW,0.9,Wanshouxigong,3/7/2013 18:00:00
164,2013,3,7,19,197,212,62,136,1500,2,10.5,996.8,-0.6,0,NNE,1.3,Wanshouxigong,3/7/2013 19:00:00
165,2013,3,7,20,153,190,66,147,2200,94,12.9,996.9,-2.6,0,NNE,0,Wanshouxigong,3/7/2013 20:00:00
166,2013,3,7,21,193,251,92,184,3500,94,11,996.8,-1.4,0,WNW,0.6,Wanshouxigong,3/7/2013 21:00:00
167,2013,3,7,22,304,380,103,191,4599,94,8.1,997.1,-1.4,0,NE,1.3,Wanshouxigong,3/7/2013 22:00:00
168,2013,3,7,23,400,468,98,182,4500,94,8.8,997.2,-1.1,0,E,1.2,Wanshouxigong,3/7/2013 23:00:00
169,2013,3,8,0,410,454,106,178,4500,94,5,997.3,-1.9,0,W,1,Wanshouxigong,3/8/2013 00:00:00
170,2013,3,8,1,421,431,74,172,4700,94,4.9,997.5,-1.8,0,NE,0.4,Wanshouxigong,3/8/2013 01:00:00
171,2013,3,8,2,379,431,74,164,4700,94,6.1,997.4,-1.8,0,NNE,0.6,Wanshouxigong,3/8/2013 02:00:00
172,2013,3,8,3,316,375,94,157,4200,94,3.9,997.3,-2.1,0,NW,0.7,Wanshouxigong,3/8/2013 03:00:00
173,2013,3,8,4,282,312,65,148,4700,94,3.4,997.6,-2,0,ENE,1.3,Wanshouxigong,3/8/2013 04:00:00
174,2013,3,8,5,287,319,52,158,6000,94,3,998.3,-2.1,0,E,0.8,Wanshouxigong,3/8/2013 05:00:00
175,2013,3,8,6,289,333,49,162,7000,94,2.9,998.9,-1.8,0,SSW,0.4,Wanshouxigong,3/8/2013 06:00:00
176,2013,3,8,7,338,342,48,164,7500,94,7.2,999.5,-0.3,0,ESE,1.1,Wanshouxigong,3/8/2013 07:00:00
177,2013,3,8,8,330,352,66,165,7400,94,12.3,999.9,-0.3,0,E,0.2,Wanshouxigong,3/8/2013 08:00:00
178,2013,3,8,9,340,377,118,198,8300,94,16.2,1000.2,-1,0,W,0.9,Wanshouxigong,3/8/2013 09:00:00
179,2013,3,8,10,360,398,115.668,220.9028,1370.395031,94,18.7,999.9,-1.2,0,SW,1.1,Wanshouxigong,3/8/2013 10:00:00
180,2013,3,8,11,284,198,79,187,4700,94,21.1,999.6,-3.5,0,SSW,3.3,Wanshouxigong,3/8/2013 11:00:00
181,2013,3,8,12,174,166,48,119,2299,94,22.2,998.4,-3.3,0,S,2.7,Wanshouxigong,3/8/2013 12:00:00
182,2013,3,8,13,156,174,41,72,1399,94,22.9,997.4,-3.5,0,SW,2.7,Wanshouxigong,3/8/2013 13:00:00
183,2013,3,8,14,138,304,47,61,1300,94,16.7,997.5,1.1,0,E,4.6,Wanshouxigong,3/8/2013 14:00:00
184,2013,3,8,15,264,460,92,106,2700,94,13.5,998.2,0.5,0,E,3.8,Wanshouxigong,3/8/2013 15:00:00
185,2013,3,8,16,181,253,71,75,1300,86,11.5,999,-0.7,0,SE,1.6,Wanshouxigong,3/8/2013 16:00:00
186,2013,3,8,17,115,132,49,56,600,86,9.7,999,-1.1,0,E,3.2,Wanshouxigong,3/8/2013 17:00:00
187,2013,3,8,18,56,69,38,46,600,86,8.7,999.6,-1.7,0,E,0.8,Wanshouxigong,3/8/2013 18:00:00
188,2013,3,8,19,43,72,35,49,900,86,8.6,999.6,-0.7,0,E,2.2,Wanshouxigong,3/8/2013 19:00:00
189,2013,3,8,20,55,72,37,54,1100,86,7.5,999.2,-2.3,0,E,0.6,Wanshouxigong,3/8/2013 20:00:00
190,2013,3,8,21,49,52,33,42,1100,86,7.4,998.9,-2.1,0,E,1.7,Wanshouxigong,3/8/2013 21:00:00
191,2013,3,8,22,50,60,38,68,1600,86,6.7,998.1,-3.6,0,E,2.5,Wanshouxigong,3/8/2013 22:00:00
192,2013,3,8,23,45,54,52,55,1700,86,5.9,996.7,-4.6,0,ESE,2,Wanshouxigong,3/8/2013 23:00:00
193,2013,3,9,0,45,48,54,56,2000,86,3.9,995.4,-4.1,0,SSE,0.2,Wanshouxigong,3/9/2013 00:00:00
194,2013,3,9,1,55,72,61,61,2299,86,3.4,994.3,-3.9,0,W,1.3,Wanshouxigong,3/9/2013 01:00:00
195,2013,3,9,2,61,75,17.14860311,60,2299,86,2.4,993.1,-3.7,0,WNW,1.5,Wanshouxigong,3/9/2013 02:00:00
196,2013,3,9,3,68,81,5,79,1370.395031,86,1.6,992,-3.5,0,W,1,Wanshouxigong,3/9/2013 03:00:00
197,2013,3,9,4,70,80,5,55.52956014,2500,86,1,991.1,-3.7,0,W,0.8,Wanshouxigong,3/9/2013 04:00:00
198,2013,3,9,5,73,88,48,75,2700,86,1.1,991.2,-3.2,0,NW,0.4,Wanshouxigong,3/9/2013 05:00:00
199,2013,3,9,6,77,99,74,76,2700,86,3.8,991.3,-3.3,0,NNW,0.2,Wanshouxigong,3/9/2013 06:00:00
200,2013,3,9,7,102,109,80,89,2299,86,5.5,991.7,-2.6,0,ENE,1.7,Wanshouxigong,3/9/2013 07:00:00
201,2013,3,9,8,103,138,87,83,2100,86,9.7,992.8,-2.3,0,E,2.6,Wanshouxigong,3/9/2013 08:00:00
202,2013,3,9,9,112,140,92,79,2000,86,18,995.2,-0.8,0,WNW,9.9,Wanshouxigong,3/9/2013 09:00:00
203,2013,3,9,10,141,375,98,70,1700,86,15.7,997.1,-5.4,0,WNW,13.2,Wanshouxigong,3/9/2013 10:00:00
